Star1_ID,Star2_ID,AngularSeparation_rad
78384,82396,0.083899266
30438,74395,0.084143827
10602,112623,0.0843245
106278,110395,0.084339896
82396,88635,0.084387573
73555,81833,0.084437406
8796,76952,0.084602977
14328,53910,0.085054814
69673,78072,0.085058073
66249,80883,0.085107027
71908,82273,0.085259309
27654,73714,0.086078274
62434,83081,0.086095708
16083,101769,0.086260093
38414,44816,0.08649336
16537,74785,0.08651375
84970,93506,0.086639935
30277,78384,0.087047753
27989,63608,0.087239385
25930,99473,0.087519972
68245,68282,0.087779238
78933,84970,0.087998646
8796,37826,0.088097742
62434,68702,0.088620768
21281,42913,0.089228177
88714,112122,0.090019262
52419,74946,0.090027601
78401,105881,0.090606544
93085,114341,0.090701104
86414,92862,0.090795661
21393,27628,0.090902049
17702,69673,0.091027541
26549,30867,0.091176415
32246,113881,0.09121192
1067,8832,0.091417502
82514,82545,0.091595511
57757,72220,0.091836983
78104,90496,0.092337312
60129,80883,0.092386025
82514,108085,0.092528819
50191,87073,0.092885762
26551,30867,0.093114726
75141,89642,0.093133442
9884,80170,0.093164288
42570,52727,0.09345869
5165,44511,0.093808976
18246,28380,0.094283146
54872,54879,0.094429663
41312,63613,0.0946432
83207,95947,0.094848494
1562,79593,0.09485604
56343,87261,0.094863596
47854,110130,0.095278144
3419,94141,0.095297629
6867,37819,0.09532961
48774,60823,0.095390773
22109,26241,0.095436019
95241,101772,0.095511052
33856,64962,0.095735583
94376,105199,0.096267263
101772,112122,0.096327017
68702,85267,0.096344621
14879,81266,0.096718515
26069,32607,0.097196013
95501,110395,0.097342654
21281,45080,0.09768324
61585,99240,0.097707472
43783,110130,0.097807802
37279,72220,0.097931833
50371,102395,0.09797514
17678,45238,0.098036321
22549,77070,0.098204386
26069,59747,0.098529705
23767,84380,0.098672343
79882,88048,0.098718475
54539,100453,0.099008307
50371,52419,0.099787387
5348,48774,0.099886017
50099,86929,0.10008788
20205,26207,0.100190915
8832,112748,0.100201386
51624,76276,0.100585516
68702,85258,0.100713484
35037,76470,0.100784212
78072,80170,0.101034178
67464,73807,0.10118521
17358,19343,0.101445749
77516,79593,0.101839181
31685,44816,0.102154834
37279,88771,0.102207645
21393,73714,0.102315408
27989,32362,0.102347092
30867,100064,0.102587828
39429,82514,0.102637067
71352,109268,0.102791233
34481,45238,0.103191578
41312,51576,0.10342146
74666,86974,0.103778788
57363,71908,0.103840839
25985,95168,0.104179513
2081,84143,0.104400681
65109,77634,0.104510308
51232,77952,0.104709626
3092,95947,0.10480025
24305,100064,0.104920707
69996,76297,0.105079225
19780,99240,0.105321352
23416,23453,0.10539498
32246,80170,0.105399755
69996,112122,0.105426754
25428,55219,0.105444888
48774,52727,0.105444915
51576,82363,0.105536013
57632,97278,0.105572001
21281,103227,0.105573913
78401,95168,0.105716622
25281,79882,0.105798859
78072,101421,0.105858744
41307,71957,0.105914579
32759,35037,0.106165155
95947,102488,0.106553118
677,45860,0.106562627
35550,37826,0.106566866
746,14328,0.106911608
27321,63003,0.106940337
26311,106278,0.107023945
95501,97649,0.107051923
46390,100345,0.107081416
8796,112748,0.107279416
9007,85258,0.107406751
34481,99240,0.107495631
9007,85267,0.107519765
30867,74785,0.10767789
5165,9007,0.107800606
51986,68245,0.108193032
677,18246,0.108256401
78265,92855,0.10861457
28358,53910,0.108751911
677,93194,0.109056248
38827,51232,0.109079499
44816,85696,0.109238944
49583,112029,0.109450268
82273,99240,0.109502033
2081,86228,0.110065391
51576,71908,0.110173127
9884,69673,0.110223113
18724,77070,0.110630856
32768,74376,0.110739789
76297,112122,0.110778136
18532,91262,0.110852562
71795,80170,0.110917115
66657,85267,0.111030537
45238,77952,0.111182338
5348,9236,0.111384676
21444,88192,0.111418645
14576,18532,0.111588231
38414,85696,0.111692642
30438,61932,0.111989504
82514,95241,0.112035348
20042,108085,0.112098788
15900,27989,0.112227686
46853,111169,0.112353868
28360,104060,0.112519191
28358,41704,0.112526501
18907,110960,0.112849589
68002,112122,0.112934292
12706,83000,0.112963078
18543,30867,0.113028018
5364,106985,0.113105375
84143,90422,0.11319417
51624,84345,0.113196858
42570,46651,0.113224544
23767,92862,0.113379139
92862,97165,0.113423062
5348,52727,0.113516376
60823,100751,0.114221821
51986,82729,0.114296331
746,53910,0.11444438
75141,75177,0.114456323
48319,102422,0.114496211
17529,113726,0.114511705
89931,92041,0.11468018
20042,86670,0.114850722
33579,38170,0.114962996
15863,97165,0.114994573
4436,45688,0.115068237
26451,86974,0.115075012
33579,68895,0.115191312
71075,104887,0.115208881
29655,75695,0.115396982
14135,16083,0.115563721
7607,67301,0.115612298
49669,67927,0.115697548
42828,113368,0.115911453
25428,53229,0.11614924
39757,78820,0.116252577
45688,112158,0.116389447
26551,87108,0.116542074
39429,95241,0.116562249
2072,84143,0.116577853
62322,102395,0.116614966
19780,61585,0.116763672
83000,87108,0.116878291
22109,26311,0.116958974
46651,68933,0.117030534
73273,73334,0.117058347
1562,77516,0.117296062
19780,82273,0.117365744
48002,86929,0.117463843
63613,71908,0.117621407
61941,86742,0.117756478
62434,102395,0.118160045
7588,45080,0.118197223
86670,95241,0.118366082
23685,92855,0.118377724
31685,109268,0.118412868
75458,85670,0.118486517
20042,82545,0.118683459
45080,61084,0.118741306
26549,87108,0.118749427
33018,86974,0.118813693
41312,57363,0.11901187
66657,85258,0.119035721
63613,99240,0.11904024
42536,46701,0.119056805
17702,32246,0.119194649
20889,50583,0.119447528
27366,60965,0.119524512
13847,86228,0.119592902
44511,75141,0.119679843
33579,93864,0.119796875
14135,88771,0.119902688
17529,79992,0.119906167
14668,95853,0.120071481
5447,50801,0.12014446
52727,60823,0.120162745
85670,111169,0.12024911
50371,83081,0.120285571
3092,102488,0.120298879
44471,100453,0.120472744
79593,109074,0.120476055
86228,90422,0.120498225
59449,71860,0.120534473
18543,74785,0.12061399
33018,91262,0.120761394
2920,44127,0.120933351
6686,58001,0.121174357
72105,112158,0.121184102
5165,66657,0.121218858
74666,91262,0.121540715
76470,114341,0.121742138
42536,42570,0.121888692
76600,80763,0.121993406
39953,50191,0.122024441
71860,86228,0.122055787
7607,17358,0.122524039
9640,67301,0.122542013
37229,93085,0.12262084
9236,56561,0.122685689
45941,51986,0.122705582
2072,86228,0.12313526
39953,112623,0.123169798
13847,71860,0.123944042
71860,84143,0.123973215
8645,72622,0.124124424
52727,75264,0.124420564
26207,101958,0.124517893
72622,100064,0.124576054
16537,26549,0.124792795
15863,86414,0.124904724
20042,37229,0.124978125
23015,81693,0.125608091
43783,59747,0.125720613
8886,68756,0.125759737
39953,87073,0.125831895
16537,26551,0.125849729
55425,71860,0.125893966
69673,71795,0.125906454
46701,60718,0.126126593
18543,78933,0.126129412
41704,53910,0.126139498
58001,116584,0.126310262
72105,76267,0.126441671
8102,32349,0.126477247
13847,84143,0.126720006
52419,102395,0.12718615
39429,101772,0.127207878
24305,78933,0.127310835
30122,78265,0.127365151
9598,83895,0.127445478
30324,78401,0.127632364
47854,59747,0.127806574
35904,75177,0.12782793
26551,74785,0.127866057
8832,76952,0.128030695
42828,65109,0.12807081
39429,68002,0.128365078
3821,65378,0.128628699
18543,24305,0.128714548
25428,92420,0.128721533
24608,44471,0.129170427
44816,73334,0.129200644
26549,74785,0.129243977
57363,61585,0.129385431
60260,83081,0.129907291
61281,83895,0.129940226
42913,85792,0.130031549
46853,75458,0.130278838
36377,109268,0.130483783
43813,61941,0.130501922
85696,89931,0.130548103
50371,74946,0.130567215
33977,60965,0.130599169
